color_space,hog_orient,hog_pix_per_cell,spatial_size,color_hist_bins,reduc_factor,C,gamma,kernel,accuracy,time to predict 100,training time,features vector length,performance
YCrCb,19,32,16,16,8,10,0.001,rbf,0.98761,0.019527,4.86261,130.0,27.45607
YCrCb,19,32,16,16,12,1,0.005,linear,0.97804,0.006448,6.77435,87.0,51.09823
YCrCb,19,32,16,16,12,1,0.005,rbf,0.9893,0.022441,5.19315,87.0,26.02305
YCrCb,19,32,16,16,12,1,0.001,linear,0.98029,0.006293,6.3718,87.0,58.73147
YCrCb,19,32,16,16,12,1,0.001,rbf,0.97354,0.034393,7.83949,87.0,7.60711
YCrCb,19,32,16,16,12,5,0.005,linear,0.97945,0.00618,20.00552,87.0,57.2961
YCrCb,19,32,16,16,12,5,0.005,rbf,0.9924,0.014585,3.53494,87.0,46.81999
YCrCb,19,32,16,16,12,5,0.001,linear,0.97832,0.006026,18.15678,87.0,55.4648
YCrCb,19,32,16,16,12,5,0.001,rbf,0.98114,0.018795,4.39505,87.0,20.53557
YCrCb,19,32,16,16,12,10,0.005,linear,0.97663,0.00604,30.36732,87.0,50.75351
YCrCb,19,32,16,16,12,10,0.005,rbf,0.99437,0.012924,3.25191,87.0,58.34501
YCrCb,19,32,16,16,12,10,0.001,linear,0.97917,0.006265,33.23218,87.0,55.71651
YCrCb,19,32,16,16,12,10,0.001,rbf,0.98339,0.01505,3.79998,87.0,28.75762
YCrCb,19,32,16,16,16,1,0.005,linear,0.96537,0.006546,6.03726,65.0,26.2249
